"","item","response","Frequency","Proportion"
"126","cpa_7_t1","2",72,0.15
"127","cpa_7_t1","3",186,0.3875
"128","cpa_7_t1","4",114,0.2375
"129","cpa_7_t1","5",54,0.1125
"130","cpa_7_t1","6",9,0.01875
"131","cpa_7_t1",NA,20,0.0416666666666667
"132","cpa_7_t2","1",12,0.025
"133","cpa_7_t2","2",65,0.135416666666667
"134","cpa_7_t2","3",130,0.270833333333333
"135","cpa_7_t2","4",110,0.229166666666667
"136","cpa_7_t2","5",56,0.116666666666667
"137","cpa_7_t2","6",5,0.0104166666666667
"138","cpa_7_t2",NA,102,0.2125
"139","cpa_8_t1","1",4,0.00833333333333333
"140","cpa_8_t1","2",32,0.0666666666666667
"141","cpa_8_t1","3",106,0.220833333333333
"142","cpa_8_t1","4",150,0.3125
"143","cpa_8_t1","5",150,0.3125
"144","cpa_8_t1","6",20,0.0416666666666667
"145","cpa_8_t1",NA,18,0.0375
"146","cpa_8_t2","1",5,0.0104166666666667
"147","cpa_8_t2","2",31,0.0645833333333333
"148","cpa_8_t2","3",75,0.15625
"149","cpa_8_t2","4",138,0.2875
"150","cpa_8_t2","5",118,0.245833333333333
"151","cpa_8_t2","6",11,0.0229166666666667
"152","cpa_8_t2",NA,102,0.2125
"153","cpa_9_t1","1",3,0.00625
"154","cpa_9_t1","2",24,0.05
"155","cpa_9_t1","3",98,0.204166666666667
"156","cpa_9_t1","4",183,0.38125
"157","cpa_9_t1","5",147,0.30625
"158","cpa_9_t1","6",7,0.0145833333333333
"159","cpa_9_t1",NA,18,0.0375
"160","cpa_9_t2","1",2,0.00416666666666667
"161","cpa_9_t2","2",11,0.0229166666666667
"162","cpa_9_t2","3",80,0.166666666666667
"163","cpa_9_t2","4",145,0.302083333333333
"164","cpa_9_t2","5",138,0.2875
"165","cpa_9_t2","6",1,0.00208333333333333
"166","cpa_9_t2",NA,103,0.214583333333333
